Country Code,Country Name,Year,fdi_inflows_percent_gdp,inflation,government_consumption_percent_gdp,exports_percent_gdp,gross_fixed_capital_formation,imports_percent_gdp,gdp_growth,gdp_per_capita,unemployment,population_growth,trade_openness
AUT,Austria,2009,3.58137196898673,0.506308827696504,20.8429660876862,45.4869106822459,22.6637107958545,42.1135824199495,-3.58626472551299,42372.4758254763,5.371,0.261953189906348,87.6004931021954
AUT,Austria,2010,-5.64539670207833,1.81353438995062,20.7014308958778,51.5839821122491,21.8611554230227,48.0609004424225,1.80898243043663,43035.4073531933,4.883,0.240394299500766,99.6448825546716
AUT,Austria,2011,5.35812778038962,3.2865791487538,20.1261020626005,54.2920768831722,22.7073592505649,51.4830214892056,2.92746800169145,44146.1956805294,4.637,0.337080841831645,105.7750983723778
AUT,Austria,2012,1.2830027920872,2.48567562177015,20.1127296077276,54.325492441456,22.9527434287837,51.5152989482497,0.628246239479637,44221.4599530893,4.909,0.45593747231891,105.8407913897057
AUT,Austria,2013,-0.302633479129545,2.00015616900597,20.2246904822814,53.8898209853854,23.3121101516353,51.0955530299819,-0.250726423318454,43851.3675497404,5.367,0.589387254692989,104.9853740153673
AUT,Austria,2014,0.389557041234778,1.60581182954474,20.1541074285657,53.8561570961341,22.9671788352856,50.6405828931259,0.755798850316665,43838.8345892137,5.674,0.781541632525841,104.49673998925999
AUT,Austria,2015,-1.80409511056007,0.89656333526032,20.128570640961,53.3960122723239,22.8959621968365,49.7215694739361,1.30352331826198,43915.228020857,5.802,1.12099250236958,103.11758174626
AUT,Austria,2016,-7.23989904197038,0.891591752655362,19.9765754686425,52.6634020833052,23.3219102437796,48.910092513867,2.11721964494312,44362.6702805116,6.064,1.08139629872802,101.5734945971722
AUT,Austria,2017,3.38180275607348,2.08126911385587,19.7920045735021,54.3260296753968,23.8459451205616,51.2300370800408,2.27224992038207,45056.6385912412,5.561,0.694621103604983,105.5560667554376
AUT,Austria,2018,-6.15119207172195,1.99837981429549,19.6244810717199,55.7022394735073,24.3135937640992,52.6757304983207,2.48422114080024,45951.5819164034,4.933,0.487071924768999,108.37796997182801
AUT,Austria,2019,-2.85255617561831,1.53089564152644,19.7190068292236,55.8958073929339,25.0801117201002,52.3114775114917,1.75497619649288,46550.5622459492,4.56,0.444673639004876,108.20728490442559
AUT,Austria,2020,-2.76332070661681,1.38191063351854,21.3096203136955,51.6630899700616,25.134256704245,48.2851241395359,-6.31825509209936,43428.6983137234,5.201,0.415176731565556,99.9482141095975
AUT,Austria,2021,3.95409878611296,2.7666666666667,21.8158646754257,55.9539450675875,25.8646541570211,55.0789870565772,4.92309171717903,45368.6434337368,6.459,0.435671684056384,111.03293212416469
AUT,Austria,2022,3.0221599256451,8.54686993188458,20.5357118895674,61.4273121186873,25.2127203813994,62.1522665342146,5.33096379400371,47332.4240357971,4.992,0.956287797076634,123.57957865290189
AUT,Austria,2023,0.566112370322707,7.81413417002831,20.5750006645567,58.4867595713944,24.6875584181551,56.6661552513376,-0.786244288594673,46497.9114640341,5.264,0.989464653969154,115.152914822732
AUT,Austria,2024,2.55351579610657,2.93791574279376,21.5978374083965,55.6782850851641,23.5479112127244,53.1474927492406,-0.659089573171372,45958.8250071261,5.2,0.504879813795986,108.8257778344047
AUT,Austria,2025,-2.01581463662181,3.52719439956928,21.9087193894571,54.7019473752362,23.5267100229664,52.3178918904941,0.615747280959056,46090.2514170459,5.582,0.328301850203979,107.0198392657303
BEL,Belgium,1995,3.71102444734668,1.46796699090272,21.2989651245599,60.1143717180605,21.2317407409695,56.2641961032662,2.38475724870135,31508.622663522,9.337,0.209436838020324,116.3785678213267
BEL,Belgium,1996,5.03718760952012,2.07702107350675,21.7183862211024,61.1923909558718,21.1846630058459,58.0203848015116,1.32143214432601,31862.6693868132,9.483,0.1953931762382,119.2127757573834
BEL,Belgium,1997,4.74788988025515,1.62816049512954,21.1513979156766,64.7865810804479,21.8542937017378,60.902358975732,3.79367165541437,32991.5010116146,8.95,0.241991884983082,125.6889400561799
BEL,Belgium,1998,8.77679407696031,0.94925028835061,21.0949180608347,64.1743450154283,21.7804884968778,60.5347776108893,1.96183240455609,33566.9875919507,9.322,0.213527650670943,124.7091226263176
BEL,Belgium,1999,46.3484571485071,1.12084823417847,21.2820398534755,64.5630595160862,22.1665354285214,60.6069310248626,3.54271798823922,34676.6051555263,8.649,0.229189103029716,125.16999054094879
BEL,Belgium,2000,37.4753122979087,2.544517761909,21.0401971476314,72.5473951580567,22.5070638327085,69.6827399089776,3.71670510672588,35878.3153586195,6.586,0.242517956221334,142.2301350670343
BEL,Belgium,2001,37.2564694834172,2.46925823086083,21.3136063380204,71.6119589202939,22.3902708268942,67.964880914325,1.09960362419645,36148.2880924306,6.178,0.343951157623668,139.5768398346189
BEL,Belgium,2002,7.01242443993657,1.64521436175361,22.1388815392458,70.8312976956765,20.696424121126,65.2538517924041,1.70689430349601,36600.862592332,6.91,0.448268894821562,136.08514948808062
BEL,Belgium,2003,10.8648744877518,1.58896399970372,22.4843723439742,69.0365085088844,20.4941888377035,63.679044325004,1.03795518162204,36826.2699296094,7.68,0.418641508069053,132.7155528338884
BEL,Belgium,2004,12.0521106747569,2.09728311239316,22.1972126513166,70.906277447218,21.4618504095247,66.0121279012141,3.57120671942319,37976.6972967442,7.363,0.432788248129175,136.9184053484321
BEL,Belgium,2005,8.72717720186463,2.78143263670029,22.093997631255,74.2828289213953,22.1538935922611,70.2462217485879,2.32173792911834,38645.2605193362,8.44,0.550055708089009,144.5290506699832
BEL,Belgium,2006,14.4078713936675,1.79120770070454,21.9387885339603,76.8049970552189,22.3254390645591,72.7625122442923,2.55234087322462,39371.0858277448,8.246,0.659558214980699,149.5675092995112
BEL,Belgium,2007,20.5026740062328,1.8230563002681,21.6158948183584,78.3018047028263,23.2930144412895,74.1666421724765,3.67692462515802,40520.0843207009,7.459,0.734330830765919,152.4684468753028
BEL,Belgium,2008,36.8029204549975,4.48944420508404,22.6661446948071,80.8806199752035,24.1181419052712,80.2078278152436,0.446905130727231,40380.9075004042,6.976,0.789976845480149,161.0884477904471
BEL,Belgium,2009,15.948905674901,-0.0531456741254177,24.127661618089,68.5960770690546,22.5500517779492,66.5423286532355,-1.90644105515335,39293.637546825,7.908,0.804599572619861,135.1384057222901
BEL,Belgium,2010,26.0596407490286,2.18929920422458,23.7422173182426,75.8282898692443,21.9382428923496,74.3342737521831,2.71031150254662,39991.5646206286,8.293,0.913639391631709,150.1625636214274
BEL,Belgium,2011,31.0366884311298,3.5320821072274,23.86685092413,80.2713643518839,22.7900061624511,80.494152536242,1.93115502411325,40236.9596308558,7.14,1.3010029017038,160.7655168881259
BEL,Belgium,2012,2.36956900950954,2.83966343445899,24.1820728168566,80.0489721342421,22.8236232419409,80.3343292908166,0.215803612089744,40074.492800399,7.542,0.620163579337378,160.3833014250587
BEL,Belgium,2013,-5.65561784857252,1.1130959402754,24.2045500908097,78.9114134413606,22.1558511394486,78.6622093410738,0.305494549070232,40007.8997891411,8.425,0.471340143966627,157.5736227824344
BEL,Belgium,2014,-2.82643623555084,0.340002833356922,24.1076426881484,79.3965205800202,22.8409196700006,79.1750903735027,1.76554038149924,40533.9135027898,8.523,0.44392928847521,158.5716109535229
BEL,Belgium,2015,-4.23261410354123,0.561429152790158,23.6734546539667,77.8777392199991,23.1519860999475,77.1909428259269,1.47416433731927,40893.804537772,8.482,0.579446241677791,155.06868204592598
BEL,Belgium,2016,12.1319420227113,1.97385264653163,23.3188265796837,79.6181317071952,23.5198221753782,79.43956490475,1.19350273007754,41172.8862831209,7.83,0.506300002451376,159.0576966119452
BEL,Belgium,2017,-7.4442379017663,2.12597086002616,23.1162236427374,83.4444050525116,23.5041514887444,83.4596731852798,1.47446761556785,41619.328629169,7.09,0.385228018372369,166.9040782377914
BEL,Belgium,2018,-7.66649538713467,2.05316499865178,23.1517515655339,83.4830567161373,23.7749835796852,84.7946361610806,1.87796847383565,42208.3625650272,5.941,0.455184695275022,168.2776928772179
BEL,Belgium,2019,-1.97252997818915,1.43681956996438,22.9562562872188,82.9674275396401,24.2312098845978,82.4980513923498,2.4428900448156,43006.4042308863,5.364,0.540461327098122,165.46547893198988
BEL,Belgium,2020,-5.69020542304612,0.740791812220344,24.2369125321374,79.1968705613294,24.0338724949105,77.7532507214541,-4.7929839083518,40769.0218072962,5.545,0.430996815099722,156.9501212827835
BEL,Belgium,2021,5.6774240968721,2.44024851144084,23.7668936810637,89.625374866218,23.9163856652107,87.7565373348573,6.25445686466593,43140.9676652971,6.248,0.411601996532257,177.3819122010753
BEL,Belgium,2022,2.22097062697703,9.597511728725,23.4038814395859,94.3593146395926,23.9161142447757,96.6941034919995,4.02460852835887,44516.002160801,5.57,0.808165350001861,191.05341813159208
BEL,Belgium,2023,-0.652733821591808,4.04901077613941,23.3660454602474,82.8132982978783,24.1745802432932,83.174142438564,1.56125539542029,44828.2274521244,5.547,0.850263748167955,165.9874407364423
BEL,Belgium,2024,-6.1637514992582,3.14349136500041,23.7383780306407,79.3187864838737,24.2779848762966,79.7046946650529,1.09775383828703,45019.6989654607,5.7,0.66555918543206,159.02348114892658
BEL,Belgium,2025,-3.96835875820548,2.46705543774613,23.9532297750536,75.4500710497086,23.8945707368656,77.4677176696568,0.983117967125935,45145.6641673237,5.906,0.698907329339411,152.9177887193654
BGR,Bulgaria,1995,0.475980150196017,62.0548336837992,15.3481611858194,32.3397333194325,16.6686853479005,22.9232752924149,2.90231544397766,4022.19748673152,11.1,-0.44539850047226,55.2630086118474
BGR,Bulgaria,1996,0.886496780882187,121.60754244925,13.8490305526592,48.4969586842486,4.45233960435174,37.3237673326382,5.20547920578709,4253.45199440193,12.5,-0.515729879636827,85.8207260168868
BGR,Bulgaria,1997,4.46066180037385,1058.37355921973,12.143161762968,49.5761831408403,9.68098126725783,36.8875531929106,-14.1153771596692,3675.36877811444,13.7,-0.608797354537911,86.4637363337509
BGR,Bulgaria,1998,3.57453184133774,18.6722044420641,18.3452620819835,41.9413442477275,14.5937766399254,35.1038573189154,3.7891144939896,3840.17297697202,12.2,-0.66730270106626,77.0452015666429
BGR,Bulgaria,1999,6.00381677294921,2.57304281890212,19.6065087149202,42.7498045960997,16.2553552539751,47.3251767694596,-8.39608774026568,3537.52626953376,14.1,-0.560648224779443,90.0749813655593
BGR,Bulgaria,2000,7.56041990720244,10.3162621289989,19.7851116392357,36.2188521925379,16.7311809263197,41.5268332287322,4.58722553234129,3718.11895993863,16.218,-0.493896416633318,77.74568542127011
